,id,Name,ESPN Rank,Wins,Losses,Ties,Win Percentage,Points For,Points Against,ESPN Rank LaLiga Bucks,Points For LaLiga Bucks,Avg Weekly Pts Rank Liga Bucks,Total LaLiga Bucks,Current Playoff Seed
11,15,Kris P. Roni,1,3,0,0,100.0,402.58,324.0,12,12,12,36,1
0,1,Vonnies Chubbies,2,2,1,0,66.67,372.65,313.6,11,11,11,33,2
5,8,I am Magic Claw,3,2,1,0,66.67,335.32,309.34,10,10,10,30,3
8,12,Nothing to CTE Here,4,2,1,0,66.67,326.98,333.31,9,8,8,25,4
6,10,Show me your TDs,11,0,3,0,0.0,330.49,386.82,2,9,10,21,5
9,13,Hurts in the Brown Bachs,5,2,1,0,66.67,317.56,301.58,8,7,6,21,6
3,4,California Sunday School,6,2,1,0,66.67,296.12,243.37,7,4,7,18,7
7,11,The Peeping Tomlins,8,1,2,0,33.33,315.26,342.64,5,5,5,15,8
4,5,Blondes Give Me A Chubb,12,0,3,0,0.0,316.54,384.0,1,6,5,12,9
2,3,The Annexation  of Puerto Rico,9,1,2,0,33.33,291.26,339.98,4,3,3,10,10
1,2,Murican Futball Crusaders,7,2,1,0,66.67,277.94,258.86,6,2,1,9,11
10,14,Purple Reign,10,1,2,0,33.33,259.72,304.92,3,1,3,7,12
