,id,Name,ESPN Rank,Wins,Losses,Ties,Win Percentage,Points For,Points Against,ESPN Rank LaLiga Bucks,Points For LaLiga Bucks,Avg Weekly Pts Rank Liga Bucks,Total LaLiga Bucks,Current Playoff Seed
11,15,Kris P. Roni,1,5,3,0,62.5,989.56,906.04,12,12,12,36,1
8,12,Nothing to CTE Here,2,5,3,0,62.5,858.46,807.77,11,8,9,28,2
9,13,Hurts in the Brown Bachs,7,4,4,0,50.0,863.66,861.4,6,10,10,26,3
0,1,Vonnies Chubbies,10,3,5,0,37.5,954.21,896.2,3,11,11,25,4
5,8,I am Magic Claw,4,5,3,0,62.5,848.22,833.26,9,6,9,24,5
7,11,The Peeping Tomlins,3,5,3,0,62.5,856.84,808.1,10,7,5,22,6
4,5,Blondes Give Me A Chubb,8,4,4,0,50.0,858.47,909.03,5,9,7,21,7
1,2,Murican Futball Crusaders,5,5,3,0,62.5,847.14,805.63,8,5,5,18,8
10,14,Purple Reign,6,5,3,0,62.5,838.4,807.9,7,4,7,18,9
3,4,California Sunday School,9,4,4,0,50.0,805.31,761.91,4,2,3,9,10
6,10,Show me your TDs,12,1,7,0,12.5,834.6,976.72,1,3,3,7,11
2,3,The Annexation  of Puerto Rico,11,2,6,0,25.0,739.29,920.2,2,1,1,4,12
