,id,Name,ESPN Rank,Wins,Losses,Ties,Win Percentage,Points For,Points Against,ESPN Rank LaLiga Bucks,Points For LaLiga Bucks,Avg Weekly Pts Rank Liga Bucks,Total LaLiga Bucks,Current Playoff Seed
11,15,Kris P. Roni,1,6,3,0,66.67,1156.86,991.88,12,12,12,36,1
4,5,Blondes Give Me A Chubb,3,5,4,0,55.56,977.31,1019.27,10,10,9,29,2
0,1,Vonnies Chubbies,9,4,5,0,44.44,1058.33,990.84,4,11,11,26,3
8,12,Nothing to CTE Here,2,6,3,0,66.67,960.26,873.65,11,8,7,26,4
10,14,Purple Reign,5,5,4,0,55.56,949.24,926.74,8,6,9,23,5
9,13,Hurts in the Brown Bachs,10,4,5,0,44.44,965.1,991.1,3,9,10,22,6
7,11,The Peeping Tomlins,4,5,4,0,55.56,951.48,912.22,9,7,4,20,7
3,4,California Sunday School,6,5,4,0,55.56,935.01,864.35,7,5,7,19,8
1,2,Murican Futball Crusaders,7,5,4,0,55.56,932.98,971.93,6,4,3,13,9
5,8,I am Magic Claw,8,5,4,0,55.56,929.72,938.36,5,3,5,13,10
6,10,Show me your TDs,12,1,8,0,11.11,899.88,1078.52,1,2,2,5,11
2,3,The Annexation  of Puerto Rico,11,3,6,0,33.33,844.39,1001.7,2,1,1,4,12
