,id,Name,ESPN Rank,Wins,Losses,Ties,Win Percentage,Points For,Points Against,ESPN Rank LaLiga Bucks,Points For LaLiga Bucks,Avg Weekly Pts Rank Liga Bucks,Total LaLiga Bucks,Current Playoff Seed
11,15,Kris P. Roni,1,8,3,0,72.73,1398.78,1143.8,12,12,12,36,1
0,1,Vonnies Chubbies,4,6,5,0,54.55,1286.21,1166.18,9,11,11,31,2
7,11,The Peeping Tomlins,2,7,4,0,63.64,1209.6,1112.1,11,10,10,31,3
4,5,Blondes Give Me A Chubb,5,6,5,0,54.55,1200.47,1254.75,8,9,10,27,4
1,2,Murican Futball Crusaders,3,7,4,0,63.64,1170.16,1188.07,10,8,7,25,5
10,14,Purple Reign,6,6,5,0,54.55,1155.76,1101.34,7,6,6,19,6
9,13,Hurts in the Brown Bachs,10,4,7,0,36.36,1157.82,1237.98,3,7,8,18,7
5,8,I am Magic Claw,7,6,5,0,54.55,1145.44,1133.22,6,5,5,16,8
8,12,Nothing to CTE Here,8,6,5,0,54.55,1143.24,1105.73,5,4,4,13,9
3,4,California Sunday School,9,5,6,0,45.45,1101.41,1109.25,4,2,3,9,10
6,10,Show me your TDs,12,1,10,0,9.09,1104.6,1340.42,1,3,2,6,11
2,3,The Annexation  of Puerto Rico,11,4,7,0,36.36,1025.47,1206.12,2,1,1,4,12
