,id,Name,ESPN Rank,Wins,Losses,Ties,Win Percentage,Points For,Points Against,ESPN Rank LaLiga Bucks,Points For LaLiga Bucks,Avg Weekly Pts Rank Liga Bucks,Total LaLiga Bucks,Current Playoff Seed
11,15,Kris P. Roni,2,9,5,0,64.29,1782.68,1568.0,11,12,12,35,1
1,2,Murican Futball Crusaders,1,10,4,0,71.43,1557.12,1457.18,12,8,11,31,2
0,1,Vonnies Chubbies,5,7,7,0,50.0,1595.45,1543.08,8,11,10,29,3
4,5,Blondes Give Me A Chubb,4,8,6,0,57.14,1583.05,1521.67,9,10,10,29,4
7,11,The Peeping Tomlins,3,9,5,0,64.29,1569.76,1456.34,10,9,8,27,5
8,12,Nothing to CTE Here,6,7,7,0,50.0,1480.38,1445.63,7,7,6,20,6
9,13,Hurts in the Brown Bachs,9,6,8,0,42.86,1446.42,1546.02,4,6,7,17,7
10,14,Purple Reign,7,7,7,0,50.0,1437.11,1416.38,6,5,5,16,8
5,8,I am Magic Claw,8,7,7,0,50.0,1398.11,1524.76,5,2,4,11,9
3,4,California Sunday School,10,6,8,0,42.86,1400.59,1410.04,3,3,4,10,10
2,3,The Annexation  of Puerto Rico,11,5,9,0,35.71,1428.45,1576.9,2,4,1,7,11
6,10,Show me your TDs,12,3,11,0,21.43,1385.22,1598.34,1,1,2,4,12
