,id,Name,ESPN Rank,Wins,Losses,Ties,Win Percentage,Points For,Points Against,ESPN Rank LaLiga Bucks,Points For LaLiga Bucks,Avg Weekly Pts Rank Liga Bucks,Total LaLiga Bucks,Current Playoff Seed
11,15,Kris P. Roni,3,3,2,0,60.0,614.5,563.78,10,12,12,34,1
5,8,I am Magic Claw,1,4,1,0,80.0,562.22,493.12,12,9,8,29,2
8,12,Nothing to CTE Here,2,4,1,0,80.0,557.24,524.41,11,8,10,29,3
0,1,Vonnies Chubbies,6,2,3,0,40.0,587.23,550.42,7,11,9,27,4
4,5,Blondes Give Me A Chubb,7,2,3,0,40.0,577.8,629.03,6,10,11,27,5
9,13,Hurts in the Brown Bachs,4,3,2,0,60.0,538.7,524.63,9,7,7,23,6
10,14,Purple Reign,5,3,2,0,60.0,523.86,491.22,8,6,7,21,7
7,11,The Peeping Tomlins,8,2,3,0,40.0,522.0,534.14,5,5,3,13,8
3,4,California Sunday School,9,2,3,0,40.0,491.89,474.79,4,3,5,12,9
6,10,Show me your TDs,12,1,4,0,20.0,512.66,577.06,1,4,4,9,10
1,2,Murican Futball Crusaders,10,2,3,0,40.0,467.68,479.2,3,2,2,7,11
2,3,The Annexation  of Puerto Rico,11,2,3,0,40.0,457.9,571.88,2,1,2,5,12
