,id,Name,ESPN Rank,Wins,Losses,Ties,Win Percentage,Points For,Points Against,ESPN Rank LaLiga Bucks,Points For LaLiga Bucks,Avg Weekly Pts Rank Liga Bucks,Total LaLiga Bucks,Current Playoff Seed
0,1,Vonnies Chubbies,1,2,0,0,100.0,268.98,206.52,12,12,11,35,1
11,15,Kris P. Roni,2,2,0,0,100.0,267.54,231.68,11,11,12,34,2
3,4,California Sunday School,3,2,0,0,100.0,244.24,164.59,10,10,10,30,3
7,11,The Peeping Tomlins,4,1,1,0,50.0,224.06,229.18,9,9,8,26,4
8,12,Nothing to CTE Here,5,1,1,0,50.0,219.9,229.64,8,7,8,23,5
6,10,Show me your TDs,10,0,2,0,0.0,221.33,275.94,3,8,9,20,6
5,8,I am Magic Claw,6,1,1,0,50.0,207.66,204.08,7,5,6,18,7
9,13,Hurts in the Brown Bachs,7,1,1,0,50.0,206.68,192.42,6,4,4,14,8
4,5,Blondes Give Me A Chubb,11,0,2,0,0.0,211.28,256.34,2,6,5,13,9
1,2,Murican Futball Crusaders,8,1,1,0,50.0,199.16,206.98,5,3,3,11,10
2,3,The Annexation  of Puerto Rico,9,1,1,0,50.0,198.94,204.94,4,2,3,9,11
10,14,Purple Reign,12,0,2,0,0.0,146.26,213.72,1,1,1,3,12
