,id,Name,ESPN Rank,Wins,Losses,Ties,Win Percentage,Points For,Points Against,ESPN Rank LaLiga Bucks,Points For LaLiga Bucks,Avg Weekly Pts Rank Liga Bucks,Total LaLiga Bucks,Current Playoff Seed
11,15,Kris P. Roni,3,4,3,0,57.14,859.32,803.46,10,12,12,34,1
8,12,Nothing to CTE Here,1,5,2,0,71.43,773.3,711.43,12,10,10,32,2
0,1,Vonnies Chubbies,8,3,4,0,42.86,832.51,762.14,5,11,11,27,3
10,14,Purple Reign,4,4,3,0,57.14,742.06,722.74,9,8,9,26,4
5,8,I am Magic Claw,2,5,2,0,71.43,738.52,713.86,11,7,8,26,5
4,5,Blondes Give Me A Chubb,9,3,4,0,42.86,751.41,812.11,4,9,7,20,6
7,11,The Peeping Tomlins,5,4,3,0,57.14,737.44,698.4,8,6,4,18,7
9,13,Hurts in the Brown Bachs,10,3,4,0,42.86,729.6,739.7,3,5,6,14,8
3,4,California Sunday School,7,4,3,0,57.14,702.73,631.67,6,2,6,14,9
1,2,Murican Futball Crusaders,6,4,3,0,57.14,713.2,675.59,7,4,2,13,10
6,10,Show me your TDs,12,1,6,0,14.29,704.56,842.78,1,3,3,7,11
2,3,The Annexation  of Puerto Rico,11,2,5,0,28.57,642.37,813.14,2,1,1,4,12
