,id,Name,ESPN Rank,Wins,Losses,Ties,Win Percentage,Points For,Points Against,ESPN Rank LaLiga Bucks,Points For LaLiga Bucks,Avg Weekly Pts Rank Liga Bucks,Total LaLiga Bucks,Current Playoff Seed
0,1,Vonnies Chubbies,1,1,0,0,100.0,140.18,114.26,12,12,12,36,1
11,15,Kris P. Roni,2,1,0,0,100.0,133.92,120.56,11,11,11,33,2
8,12,Nothing to CTE Here,3,1,0,0,100.0,122.72,100.16,10,10,10,30,3
7,11,The Peeping Tomlins,7,0,1,0,0.0,120.56,133.92,6,9,9,24,4
3,4,California Sunday School,4,1,0,0,100.0,108.48,57.52,9,7,7,23,5
6,10,Show me your TDs,8,0,1,0,0.0,114.26,140.18,5,8,8,21,6
1,2,Murican Futball Crusaders,5,1,0,0,100.0,106.9,78.18,8,6,6,20,7
2,3,The Annexation  of Puerto Rico,6,1,0,0,100.0,103.68,101.44,7,5,5,17,8
9,13,Hurts in the Brown Bachs,9,0,1,0,0.0,101.44,103.68,4,4,4,12,9
4,5,Blondes Give Me A Chubb,10,0,1,0,0.0,100.16,122.72,3,3,3,9,10
5,8,I am Magic Claw,11,0,1,0,0.0,78.18,106.9,2,2,2,6,11
10,14,Purple Reign,12,0,1,0,0.0,57.52,108.48,1,1,1,3,12
