,id,Name,ESPN Rank,Wins,Losses,Ties,Win Percentage,Points For,Points Against,ESPN Rank LaLiga Bucks,Points For LaLiga Bucks,Avg Weekly Pts Rank Liga Bucks,Total LaLiga Bucks,Current Playoff Seed
11,15,Kris P. Roni,1,9,4,0,69.23,1652.46,1391.02,12,12,12,36,1
1,2,Murican Futball Crusaders,2,9,4,0,69.23,1430.56,1336.16,11,9,11,31,2
7,11,The Peeping Tomlins,3,8,5,0,61.54,1447.16,1382.28,10,10,10,30,3
0,1,Vonnies Chubbies,8,6,7,0,46.15,1451.95,1418.9,5,11,9,25,4
4,5,Blondes Give Me A Chubb,4,7,6,0,53.85,1424.89,1457.15,9,8,8,25,5
10,14,Purple Reign,5,7,6,0,53.85,1363.05,1293.78,8,7,6,21,6
8,12,Nothing to CTE Here,6,7,6,0,53.85,1356.2,1302.13,7,5,5,17,7
9,13,Hurts in the Brown Bachs,10,5,8,0,38.46,1361.12,1463.6,3,6,7,16,8
5,8,I am Magic Claw,7,7,6,0,53.85,1333.59,1366.6,6,4,4,14,9
3,4,California Sunday School,9,6,7,0,46.15,1279.57,1283.48,4,2,3,9,10
6,10,Show me your TDs,12,3,10,0,23.08,1302.8,1513.04,1,3,3,7,11
2,3,The Annexation  of Puerto Rico,11,4,9,0,30.77,1251.47,1446.68,2,1,1,4,12
