,id,Name,ESPN Rank,Wins,Losses,Ties,Win Percentage,Points For,Points Against,ESPN Rank LaLiga Bucks,Points For LaLiga Bucks,Avg Weekly Pts Rank Liga Bucks,Total LaLiga Bucks,Current Playoff Seed
11,15,Kris P. Roni,1,9,3,0,75.0,1551.64,1251.06,12,12,12,36,1
0,1,Vonnies Chubbies,5,6,6,0,50.0,1380.07,1280.5,8,11,11,30,2
7,11,The Peeping Tomlins,3,7,5,0,58.33,1316.86,1264.96,10,10,10,30,3
1,2,Murican Futball Crusaders,2,8,4,0,66.67,1292.16,1264.28,11,9,10,30,4
4,5,Blondes Give Me A Chubb,6,6,6,0,50.0,1284.93,1356.33,7,8,7,22,5
8,12,Nothing to CTE Here,4,7,5,0,58.33,1244.82,1190.19,9,5,6,20,6
9,13,Hurts in the Brown Bachs,10,5,7,0,41.67,1268.08,1346.66,3,7,8,18,7
10,14,Purple Reign,7,6,6,0,50.0,1246.11,1200.74,6,6,6,18,8
5,8,I am Magic Claw,8,6,6,0,50.0,1221.65,1255.22,5,4,3,12,9
3,4,California Sunday School,9,6,6,0,50.0,1200.81,1199.6,4,2,4,10,10
6,10,Show me your TDs,12,2,10,0,16.67,1218.92,1434.28,1,3,3,7,11
2,3,The Annexation  of Puerto Rico,11,4,8,0,33.33,1134.15,1316.38,2,1,1,4,12
