,id,Name,ESPN Rank,Wins,Losses,Ties,Win Percentage,Points For,Points Against,ESPN Rank LaLiga Bucks,Points For LaLiga Bucks,Avg Weekly Pts Rank Liga Bucks,Total LaLiga Bucks,Current Playoff Seed
11,15,Kris P. Roni,1,7,3,0,70.0,1276.04,1064.42,12,12,12,36,1
4,5,Blondes Give Me A Chubb,2,6,4,0,60.0,1087.93,1126.91,11,10,10,31,2
0,1,Vonnies Chubbies,7,5,5,0,50.0,1176.05,1057.44,6,11,11,28,3
7,11,The Peeping Tomlins,3,6,4,0,60.0,1081.9,991.92,10,9,8,27,4
8,12,Nothing to CTE Here,4,6,4,0,60.0,1063.86,982.99,9,8,8,25,5
10,14,Purple Reign,5,6,4,0,60.0,1047.02,991.18,8,7,8,23,6
1,2,Murican Futball Crusaders,6,6,4,0,60.0,1042.32,1075.53,7,6,4,17,7
9,13,Hurts in the Brown Bachs,10,4,6,0,40.0,1037.64,1110.28,3,5,6,14,8
3,4,California Sunday School,8,5,5,0,50.0,1014.71,994.77,5,4,5,14,9
5,8,I am Magic Claw,9,5,5,0,50.0,994.16,1036.14,4,2,3,9,10
6,10,Show me your TDs,12,1,9,0,10.0,1007.52,1189.14,1,3,3,7,11
2,3,The Annexation  of Puerto Rico,11,3,7,0,30.0,910.99,1119.42,2,1,1,4,12
