,id,Name,ESPN Rank,Wins,Losses,Ties,Win Percentage,Points For,Points Against,ESPN Rank LaLiga Bucks,Points For LaLiga Bucks,Avg Weekly Pts Rank Liga Bucks,Total LaLiga Bucks,Current Playoff Seed
9,13,Hurts in the Brown Bachs,3,8,5,0,61.54,1583.56,1316.79,10,12,12,34,1
3,4,Christian Sunday Service,6,7,6,0,53.85,1463.08,1379.1,7,10,11,28,2
2,3,The Annexation  of Puerto Rico,4,8,5,0,61.54,1452.79,1325.75,9,9,10,28,3
7,11,Lucy in the Sky w/ Draft Picks,5,7,6,0,53.85,1466.15,1332.27,8,11,8,27,4
11,15,Moose,1,9,4,0,69.23,1423.18,1291.46,12,8,7,27,5
1,2,Murican Futball Crusaders,2,9,4,0,69.23,1393.26,1309.64,11,7,9,27,6
8,12,Nothing to CTE Here,10,5,8,0,38.46,1372.76,1460.42,3,6,6,15,7
6,10,Show me your TDs,8,6,7,0,46.15,1323.68,1389.26,5,5,4,14,8
0,1,Vonnies Chubbies,9,6,7,0,46.15,1312.05,1397.09,4,4,5,13,9
10,14,Purple Reign,7,7,6,0,53.85,1246.78,1334.1,6,2,2,10,10
5,8,Camacho's Commanders,11,4,9,0,30.77,1270.46,1446.44,2,3,3,8,11
4,5,Blondes Give Me A Chubb,12,2,11,0,15.38,1172.73,1498.16,1,1,1,3,12
