,Week,Name1,Score1,Name2,Score2,Type
72,13,Lucy in the Sky w/ Draft Picks,117.34,Vonnies Chubbies,92.8,Regular
73,13,Purple Reign,101.9,Show me your TDs,99.06,Regular
74,13,Camacho's Commanders,102.14,Christian Sunday Service,135.76,Regular
75,13,Murican Futball Crusaders,103.48,Nothing to CTE Here,131.78,Regular
76,13,Hurts in the Brown Bachs,136.12,The Annexation  of Puerto Rico,157.18,Regular
77,13,Blondes Give Me A Chubb,87.6,Moose,93.02,Regular
78,14,Purple Reign,90.8,Lucy in the Sky w/ Draft Picks,81.76,Regular
79,14,Vonnies Chubbies,102.04,Camacho's Commanders,125.54,Regular
80,14,Show me your TDs,65.24,Murican Futball Crusaders,101.64,Regular
81,14,Christian Sunday Service,100.32,Hurts in the Brown Bachs,126.68,Regular
82,14,Nothing to CTE Here,144.62,Blondes Give Me A Chubb,53.6,Regular
83,14,The Annexation  of Puerto Rico,145.54,Moose,113.12,Regular
84,15,,,Murican Futball Crusaders,0.0,Playoff
85,15,Purple Reign,0.0,Moose,0.0,Playoff
86,15,Christian Sunday Service,0.0,The Annexation  of Puerto Rico,0.0,Playoff
87,15,,,Hurts in the Brown Bachs,0.0,Playoff
88,15,Nothing to CTE Here,0.0,Lucy in the Sky w/ Draft Picks,0.0,Playoff
89,15,Show me your TDs,0.0,Vonnies Chubbies,0.0,Playoff
90,15,Blondes Give Me A Chubb,0.0,Camacho's Commanders,0.0,Playoff
