,id,Name,ESPN Rank,Wins,Losses,Ties,Win Percentage,Points For,Points Against,ESPN Rank LaLiga Bucks,Points For LaLiga Bucks,Avg Weekly Pts Rank Liga Bucks,Total LaLiga Bucks,Current Playoff Seed
9,13,Hurts in the Brown Bachs,2,6,3,0,66.67,1091.78,890.89,11,12,12,35,1
11,15,Moose,3,6,3,0,66.67,1024.42,896.68,10,11,10,31,2
7,11,Lucy in the Sky w/ Draft Picks,4,5,4,0,55.56,1012.32,910.31,9,10,9,28,3
1,2,Murican Futball Crusaders,1,7,2,0,77.78,954.56,855.08,12,8,8,28,4
3,4,Christian Sunday Service,7,4,5,0,44.44,992.62,946.47,6,9,11,26,5
2,3,The Annexation  of Puerto Rico,5,5,4,0,55.56,928.45,876.9,8,7,7,22,6
6,10,Show me your TDs,8,4,5,0,44.44,925.9,964.58,5,6,6,17,7
8,12,Nothing to CTE Here,10,3,6,0,33.33,909.28,1049.64,3,5,4,12,8
0,1,Vonnies Chubbies,9,4,5,0,44.44,866.58,955.08,4,3,5,12,9
10,14,Purple Reign,6,5,4,0,55.56,857.02,883.9,7,2,3,12,10
5,8,Camacho's Commanders,11,3,6,0,33.33,869.36,979.26,2,4,2,8,11
4,5,Blondes Give Me A Chubb,12,2,7,0,22.22,818.26,1041.76,1,1,1,3,12
