,id,Name,ESPN Rank,Wins,Losses,Ties,Win Percentage,Points For,Points Against,ESPN Rank LaLiga Bucks,Points For LaLiga Bucks,Avg Weekly Pts Rank Liga Bucks,Total LaLiga Bucks,Current Playoff Seed
9,13,Hurts in the Brown Bachs,2,7,3,0,70.0,1241.34,982.35,11,12,12,35,1
7,11,Lucy in the Sky w/ Draft Picks,3,6,4,0,60.0,1129.74,1004.49,10,11,10,31,2
1,2,Murican Futball Crusaders,1,8,2,0,80.0,1069.74,955.2,12,8,9,29,3
11,15,Moose,4,6,4,0,60.0,1110.3,1000.6,9,10,8,27,4
3,4,Christian Sunday Service,9,4,6,0,40.0,1093.74,1079.03,4,9,11,24,5
2,3,The Annexation  of Puerto Rico,5,6,4,0,60.0,1061.01,978.02,8,7,7,22,6
6,10,Show me your TDs,6,5,5,0,50.0,1029.82,1050.46,7,6,5,18,7
0,1,Vonnies Chubbies,7,5,5,0,50.0,1005.1,1051.83,6,5,6,17,8
8,12,Nothing to CTE Here,10,3,7,0,30.0,1003.46,1167.06,3,4,4,11,9
10,14,Purple Reign,8,5,5,0,50.0,948.48,1033.46,5,2,2,9,10
5,8,Camacho's Commanders,11,3,7,0,30.0,969.48,1094.44,2,3,3,8,11
4,5,Blondes Give Me A Chubb,12,2,8,0,20.0,915.01,1180.28,1,1,1,3,12
