,id,Name,ESPN Rank,Wins,Losses,Ties,Win Percentage,Points For,Points Against,ESPN Rank LaLiga Bucks,Points For LaLiga Bucks,Avg Weekly Pts Rank Liga Bucks,Total LaLiga Bucks,Current Playoff Seed
9,13,Hurts in the Brown Bachs,2,8,4,0,66.67,1447.44,1159.61,11,12,12,35,1
1,2,Murican Futball Crusaders,1,9,3,0,75.0,1289.78,1177.86,12,7,10,29,2
7,11,Lucy in the Sky w/ Draft Picks,5,6,6,0,50.0,1348.81,1239.47,8,11,9,28,3
11,15,Moose,3,8,4,0,66.67,1330.16,1203.86,10,10,7,27,4
3,4,Christian Sunday Service,6,6,6,0,50.0,1327.32,1276.96,7,9,11,27,5
2,3,The Annexation  of Puerto Rico,4,7,5,0,58.33,1295.61,1189.63,9,8,8,25,6
0,1,Vonnies Chubbies,7,6,6,0,50.0,1219.25,1279.75,6,4,6,16,7
6,10,Show me your TDs,8,6,6,0,50.0,1224.62,1287.36,5,5,5,15,8
8,12,Nothing to CTE Here,10,4,8,0,33.33,1240.98,1356.94,3,6,5,14,9
5,8,Camacho's Commanders,11,4,8,0,33.33,1168.32,1310.68,2,3,3,8,10
10,14,Purple Reign,9,6,6,0,50.0,1144.88,1235.04,4,2,2,8,11
4,5,Blondes Give Me A Chubb,12,2,10,0,16.67,1085.13,1405.14,1,1,1,3,12
