,id,Name,ESPN Rank,Wins,Losses,Ties,Win Percentage,Points For,Points Against,ESPN Rank LaLiga Bucks,Points For LaLiga Bucks,Avg Weekly Pts Rank Liga Bucks,Total LaLiga Bucks,Current Playoff Seed
7,11,Lucy in the Sky w/ Draft Picks,2,4,1,0,80.0,620.44,464.42,11,12,12,35,1
9,13,Hurts in the Brown Bachs,3,4,1,0,80.0,599.48,447.13,10,11,11,32,2
11,15,Moose,1,5,0,0,100.0,569.58,431.92,12,10,9,31,3
2,3,The Annexation  of Puerto Rico,4,3,2,0,60.0,538.8,491.56,9,8,8,25,4
3,4,Christian Sunday Service,10,1,4,0,20.0,549.42,590.53,3,9,10,22,5
6,10,Show me your TDs,6,2,3,0,40.0,533.8,539.72,7,7,5,19,6
8,12,Nothing to CTE Here,7,2,3,0,40.0,532.38,581.18,6,6,7,19,7
0,1,Vonnies Chubbies,8,2,3,0,40.0,494.28,564.54,5,5,7,17,8
1,2,Murican Futball Crusaders,5,3,2,0,60.0,490.3,507.96,8,4,5,17,9
10,14,Purple Reign,9,2,3,0,40.0,472.72,511.66,4,3,3,10,10
4,5,Blondes Give Me A Chubb,11,1,4,0,20.0,466.22,601.96,2,2,3,7,11
5,8,Camacho's Commanders,12,1,4,0,20.0,446.64,581.48,1,1,1,3,12
