,id,Name,ESPN Rank,Wins,Losses,Ties,Win Percentage,Points For,Points Against,ESPN Rank LaLiga Bucks,Points For LaLiga Bucks,Avg Weekly Pts Rank Liga Bucks,Total LaLiga Bucks,Current Playoff Seed
9,13,Hurts in the Brown Bachs,1,5,2,0,71.43,819.74,666.53,12,12,12,36,1
7,11,Lucy in the Sky w/ Draft Picks,2,5,2,0,71.43,812.84,662.54,11,11,10,32,2
11,15,Moose,3,5,2,0,71.43,782.84,683.2,10,10,9,29,3
3,4,Christian Sunday Service,6,3,4,0,42.86,781.14,773.17,7,9,11,27,4
1,2,Murican Futball Crusaders,4,5,2,0,71.43,727.98,681.3,9,8,8,25,5
0,1,Vonnies Chubbies,5,4,3,0,57.14,705.08,719.1,8,6,7,21,6
5,8,Camacho's Commanders,7,3,4,0,42.86,709.8,790.3,6,7,6,19,7
2,3,The Annexation  of Puerto Rico,8,3,4,0,42.86,702.58,671.52,5,5,5,15,8
8,12,Nothing to CTE Here,10,2,5,0,28.57,699.24,794.86,3,4,4,11,9
10,14,Purple Reign,9,3,4,0,42.86,663.8,715.92,4,2,3,9,10
6,10,Show me your TDs,11,2,5,0,28.57,687.74,766.82,2,3,2,7,11
4,5,Blondes Give Me A Chubb,12,2,5,0,28.57,644.28,811.8,1,1,2,4,12
