,id,Name,ESPN Rank,Wins,Losses,Ties,Win Percentage,Points For,Points Against,ESPN Rank LaLiga Bucks,Points For LaLiga Bucks,Avg Weekly Pts Rank Liga Bucks,Total LaLiga Bucks,Current Playoff Seed
7,11,Lucy in the Sky w/ Draft Picks,1,5,1,0,83.33,742.94,570.92,12,12,12,36,1
9,13,Hurts in the Brown Bachs,3,4,2,0,66.67,705.98,569.63,10,11,11,32,2
11,15,Moose,2,5,1,0,83.33,685.94,569.44,11,10,10,31,3
1,2,Murican Futball Crusaders,4,4,2,0,66.67,630.24,594.4,9,8,8,25,4
3,4,Christian Sunday Service,8,2,4,0,33.33,653.76,664.31,5,9,10,24,5
2,3,The Annexation  of Puerto Rico,5,3,3,0,50.0,615.68,573.78,8,7,7,22,6
0,1,Vonnies Chubbies,6,3,3,0,50.0,582.32,639.94,7,3,6,16,7
8,12,Nothing to CTE Here,9,2,4,0,33.33,607.78,669.22,4,6,5,15,8
6,10,Show me your TDs,10,2,4,0,33.33,607.58,644.06,3,5,3,11,9
5,8,Camacho's Commanders,11,2,4,0,33.33,584.16,697.84,2,4,4,10,10
10,14,Purple Reign,7,3,3,0,50.0,554.94,588.54,6,2,1,9,11
4,5,Blondes Give Me A Chubb,12,1,5,0,16.67,552.66,741.9,1,1,2,4,12
