,id,Name,ESPN Rank,Wins,Losses,Ties,Win Percentage,Points For,Points Against,ESPN Rank LaLiga Bucks,Points For LaLiga Bucks,Avg Weekly Pts Rank Liga Bucks,Total LaLiga Bucks,Current Playoff Seed
7,11,Lucy in the Sky w/ Draft Picks,3,3,1,0,75.0,493.9,385.1,10,12,12,34,1
11,15,Moose,1,4,0,0,100.0,463.42,361.68,12,11,11,34,2
9,13,Hurts in the Brown Bachs,2,3,1,0,75.0,438.56,364.44,11,10,9,30,3
2,3,The Annexation  of Puerto Rico,4,3,1,0,75.0,438.22,378.5,9,9,9,27,4
0,1,Vonnies Chubbies,6,2,2,0,50.0,424.04,458.38,7,8,9,24,5
1,2,Murican Futball Crusaders,5,3,1,0,75.0,410.98,381.42,8,5,6,19,6
3,4,Christian Sunday Service,9,1,3,0,25.0,422.84,454.15,4,7,7,18,7
6,10,Show me your TDs,8,1,3,0,25.0,420.74,439.14,5,6,5,16,8
10,14,Purple Reign,7,2,2,0,50.0,372.24,396.8,6,3,4,13,9
8,12,Nothing to CTE Here,11,1,3,0,25.0,396.0,454.6,2,4,4,10,10
5,8,Camacho's Commanders,10,1,3,0,25.0,363.95,420.56,3,2,2,7,11
4,5,Blondes Give Me A Chubb,12,0,4,0,0.0,351.36,501.48,1,1,1,3,12
